q,D,R,CR
50,24.440675322987268,0.187286376953125,42.715333224702626
49,24.58852706856139,0.1922607421875,41.61015873015873
48,24.764104446978358,0.198333740234375,40.33605170026158
47,24.998064357763145,0.203704833984375,39.27250936329588
46,25.011869228784768,0.209503173828125,38.18557902403496
45,25.3107480053708,0.215667724609375,37.094099334937034
44,25.305844228324332,0.221282958984375,36.152806509446975
43,25.527944374610748,0.22833251953125,35.036621224271585
42,25.60456098300401,0.235595703125,33.95647668393782
41,25.645126238663934,0.242156982421875,33.036420919974795
40,25.910798474233786,0.250213623046875,31.97267959507257
